UI Physical buttons  All off: 

2021-10-19T16:48:52.740213719+00:00 WARN zigbee-tuya-switch  Device does not support cluster 0x0006 not adding configured attribute
2021-10-19T16:48:52.746842032+00:00 WARN zigbee-tuya-switch  Device does not support cluster 0x0006 not adding monitored attribute
2021-10-19T16:48:52.754992772+00:00 TRACE zigbee-tuya-switch  Received event with handler _resync
2021-10-19T16:48:52.760654935+00:00 TRACE zigbee-tuya-switch  Received event with handler environment_info
2021-10-19T16:48:52.802559210+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:48:52.826953067+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:48:52.833346262+00:00 TRACE zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received unhandled lifecycle event: init
2021-10-19T16:48:52.845550361+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handled
2021-10-19T16:48:52.854293064+00:00 TRACE zigbee-tuya-switch  Received event with handler _resync
2021-10-19T16:48:52.868940050+00:00 TRACE zigbee-tuya-switch  Received event with handler environment_info
2021-10-19T16:48:52.874303731+00:00 DEBUG zigbee-tuya-switch  Z-Wave hub node ID environment changed.
2021-10-19T16:48:52.884620220+00:00 TRACE zigbee-tuya-switch  Received event with handler device_lifecycle
2021-10-19T16:48:52.902273042+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received lifecycle event: added
2021-10-19T16:48:52.915945875+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:48:52.929720425+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:48:52.953444615+00:00 TRACE zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received unhandled lifecycle event: added
2021-10-19T16:48:52.959074095+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handled
2021-10-19T16:48:52.965219833+00:00 TRACE zigbee-tuya-switch  Received event with handler device_lifecycle
2021-10-19T16:48:52.986677556+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received lifecycle event: driverSwitched
2021-10-19T16:48:53.009117771+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
